# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = LinearProfile
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0.0059988,0.0059988,1525,0,0,0,0,0
0.0200,0,0,0,0,0,0,0,0,0,0,0,0,6.28319e-05,-6.28319e-05,-0.0120036,0.0120036,1525,0,0,-0.00119976,0.00119976,305
0.0400,5.26187e-05,2.70176e-07,0,2.63246e-05,-4.37353e-06,0,0.00263093,1.35088e-05,0,0.00131623,-0.000218677,0,0.000128051,-0.000128051,-0.0175552,0.0175552,1525,1.25664e-05,-1.25664e-05,-0.00336053,0.00336053,549
0.0600,0.000275364,1.38872e-06,8.84998e-10,0.000135336,-2.27598e-05,-3.71116e-10,0.0111373,5.59271e-05,-5.93161e-09,0.00545057,-0.000919313,5.64475e-09,0.000195627,-0.000195627,-0.0220787,0.0220787,1525,3.56634e-05,-3.56634e-05,-0.00619946,0.00619946,744.2
0.0800,0.000809411,3.99737e-06,1.11519e-08,0.000389643,-6.64821e-05,-4.21187e-09,0.0267023,0.000130433,-1.12046e-07,0.0127153,-0.00218611,1.03822e-07,0.000265143,-0.000265143,-0.0253486,0.0253486,1525,6.76561e-05,-6.76561e-05,-0.00937531,0.00937531,900.36
0.1000,0.00179639,8.66751e-06,6.41766e-08,0.000845047,-0.000146567,-2.24729e-08,0.0493489,0.000233507,-7.20571e-07,0.0227702,-0.00400426,6.47178e-07,0.000334918,-0.000334918,-0.0273372,0.0273372,1525,0.000107153,-0.000107153,-0.01257,0.01257,1025.29
0.1200,0.00336631,1.58348e-05,2.44482e-07,0.00154416,-0.000272749,-8.06219e-08,0.0784959,0.000358362,-2.7925e-06,0.0349556,-0.0063091,2.42404e-06,0.000401207,-0.000401207,-0.0281201,0.0281201,1525,0.000152706,-0.000152706,-0.0155234,0.0155234,1125.23
0.1400,0.00563214,2.57751e-05,7.17585e-07,0.00251404,-0.000453059,-2.24912e-07,0.113292,0.000497016,-8.01256e-06,0.0484942,-0.00901547,6.70683e-06,0.000457972,-0.000457972,-0.0278186,0.0278186,1525,0.000202406,-0.000202406,-0.0180428,0.0180428,1205.18
0.1600,0.00868829,3.86052e-05,1.75795e-06,0.00376622,-0.000693746,-5.26729e-07,0.152807,0.00064149,-1.88251e-05,0.0626089,-0.0120344,1.5164e-05,0.000497318,-0.000497318,-0.0265668,0.0265668,1525,0.00025352,-0.00025352,-0.0199979,0.0199979,1269.15
0.1800,0.0126111,5.42952e-05,3.77142e-06,0.00529797,-0.000999382,-1.08429e-06,0.19614,0.000784468,-3.83529e-05,0.0765873,-0.0152818,2.96765e-05,0.000510373,-0.000510373,-0.0244937,0.0244937,1525,0.000302279,-0.000302279,-0.0213117,0.0213117,1320.32
0.2000,0.0174605,7.26895e-05,7.31056e-06,0.00709427,-0.00137304,-2.02168e-06,0.242468,0.000919619,-7.02347e-05,0.0898149,-0.018683,5.21129e-05,0.000488367,-0.000488367,-0.0217147,0.0217147,1525,0.000343898,-0.000343898,-0.0219481,0.0219481,1361.25
0.2200,0.0232818,9.35283e-05,1.3083e-05,0.00913001,-0.00181651,-3.48555e-06,0.291069,0.00104171,-0.000118422,0.101787,-0.0221734,8.41114e-05,0.000423672,-0.000423672,-0.0183291,0.0183291,1525,0.000372792,-0.000372792,-0.0219014,0.0219014,1394
0.2400,0.0301083,0.00011647,2.19536e-05,0.0113722,-0.00233049,-5.64031e-06,0.341325,0.00114664,-0.000186966,0.112111,-0.025699,0.000126896,0.000310679,-0.000310679,-0.0144207,0.0144207,1525,0.000382968,-0.000382968,-0.021187,0.021187,1420.2
0.2600,0.0379626,0.000141115,3.4942e-05,0.0137822,-0.00291479,-8.66222e-06,0.392714,0.00123132,-0.000279818,0.120499,-0.0292147,0.000181146,0.000146415,-0.000146415,-0.0100597,0.0100597,1525,0.00036851,-0.00036851,-0.0198337,0.0198337,1441.16
0.2800,0.0468587,0.000167019,5.32164e-05,0.0163175,-0.00356847,-1.27331e-05,0.444804,0.00129366,-0.000400655,0.126763,-0.0326835,0.000246916,-6.90887e-05,6.90887e-05,-0.00530555,0.00530555,1525,0.000324091,-0.000324091,-0.0178789,0.0178789,1457.93
0.3000,0.0568035,0.000193717,7.80857e-05,0.0189335,-0.00428998,-1.80343e-05,0.49724,0.00133243,-0.000552737,0.1308,-0.0360749,0.000323611,-0.000332683,0.000332683,-0.000209644,0.000209644,1525,0.000245455,-0.000245455,-0.0153642,0.0153642,1471.34
0.3200,0.0677981,0.000220737,0.000110989,0.0215852,-0.00507726,-2.47407e-05,0.549732,0.00134717,-0.000738797,0.132585,-0.0393636,0.000410005,-0.000638199,0.000638199,0.00518204,-0.00518204,1525,0.000129827,-0.000129827,-0.0123333,0.0123333,1482.08
0.3400,0.0798389,0.00024761,0.000153487,0.0242284,-0.00592785,-3.30156e-05,0.602043,0.00133808,-0.000960961,0.132156,-0.0425285,0.000504297,-0.000976725,0.000976725,0.0108267,-0.0108267,1525,-2.37778e-05,2.37778e-05,-0.00883024,0.00883024,1490.66
0.3600,0.0929185,0.000273881,0.000207247,0.0268206,-0.00683891,-4.30062e-05,0.653984,0.00130594,-0.00122069,0.129608,-0.0455517,0.000604194,-0.00133701,0.00133701,0.0166829,-0.0166829,1525,-0.000214367,0.000214367,-0.00489886,0.00489886,1497.53
0.3800,0.107026,0.000299121,0.000274038,0.0293223,-0.0078073,-5.484e-05,0.705403,0.00125207,-0.00151875,0.125081,-0.0484177,0.000707014,-0.00170599,0.00170599,0.0227092,-0.0227092,1525,-0.000438896,0.000438896,-0.000582499,0.000582499,1503.02
0.4000,0.12215,0.000322932,0.000355715,0.0316974,-0.00882959,-6.86219e-05,0.756178,0.00117815,-0.0018552,0.118748,-0.051113,0.000809813,-0.00206934,0.00206934,0.0288628,-0.0288628,1525,-0.000692315,0.000692315,0.00407584,-0.00407584,1507.42
0.4200,0.138274,0.000344953,0.000454209,0.0339138,-0.00990214,-8.44316e-05,0.806214,0.00108625,-0.0022294,0.110813,-0.0536253,0.000909502,-0.00241213,0.00241213,0.035099,-0.035099,1525,-0.000967721,0.000967721,0.00903322,-0.00903322,1510.93
0.4400,0.155382,0.000364862,0.000571515,0.0359439,-0.011021,-0.000102322,0.855434,0.000978713,-0.00264001,0.101498,-0.0559435,0.00100299,-0.0027194,0.0027194,0.0413708,-0.0413708,1525,-0.0012566,0.0012566,0.0142464,-0.0142464,1513.75
